,Unnamed: 0.1,Unnamed: 0,loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,inc_loan,cibil_bucket,asset_bucket,term_bucket
0,0,0,1,2,Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,50700000,0.3210702341137124,700-799,250L-10C,10-15
1,1,1,2,0,Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,17000000,0.3360655737704918,300-499,100L-250L,5-10
2,2,2,3,3,Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,57700000,0.3063973063973064,500-599,250L-10C,15-20
3,3,3,4,3,Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,52700000,0.2671009771986971,300-499,250L-10C,5-10
4,4,4,5,5,Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,55000000,0.4049586776859504,300-499,250L-10C,15-20
5,5,5,6,0,Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,33900000,0.3555555555555555,300-499,250L-10C,5-10
6,6,6,7,5,Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,70800000,0.2636363636363636,600-699,250L-10C,0-5
7,7,7,8,2,Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,36700000,0.38,300-499,250L-10C,15-20
8,8,8,9,0,Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,5500000,0.3636363636363636,700-799,50L-100L,15-20
9,9,9,10,5,Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,9500000,0.2558139534883721,300-499,50L-100L,5-10
10,10,10,11,4,Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,25400000,0.2589285714285714,500-599,250L-10C,0-5
11,11,11,12,2,Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,47900000,0.2951541850220264,500-599,250L-10C,15-20
12,12,12,13,3,Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,34900000,0.4310344827586206,300-499,250L-10C,15-20
13,13,13,14,2,Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,53300000,0.2888888888888888,600-699,250L-10C,10-15
14,14,14,15,1,Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected,10900000,0.2567567567567567,300-499,100L-250L,5-10
15,15,15,16,5,Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,30400000,0.4392523364485981,700-799,250L-10C,5-10
16,16,16,17,2,Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,3400000,0.3125,600-699,10L-50L,0-5
17,17,17,18,4,Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,16700000,0.3085106382978723,700-799,100L-250L,10-15
18,18,18,19,2,Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,10500000,0.2621359223300971,700-799,100L-250L,5-10
19,19,19,20,5,Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved,43200000,0.4315068493150685,600-699,250L-10C,10-15
20,20,20,21,2,Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,35200000,0.2577319587628865,300-499,250L-10C,10-15
21,21,21,22,4,Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,42700000,0.4142857142857143,500-599,250L-10C,15-20
22,22,22,23,4,Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,42800000,0.2529182879377432,300-499,250L-10C,15-20
23,23,23,24,0,Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000,Approved,2900000,0.3571428571428571,500-599,10L-50L,0-5
24,24,24,25,0,Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,25800000,0.5,300-499,250L-10C,15-20
25,25,25,26,5,Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,20200000,0.3263157894736842,500-599,100L-250L,15-20
26,26,26,27,4,Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,54600000,0.2918149466192171,600-699,250L-10C,10-15
27,27,27,28,4,Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,16600000,0.4285714285714285,600-699,100L-250L,0-5
28,28,28,29,5,Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,51400000,0.2916666666666667,300-499,250L-10C,5-10
29,29,29,30,3,Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,75900000,0.2857142857142857,800-900,250L-10C,5-10
30,30,30,31,2,Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,60200000,0.3873517786561264,300-499,250L-10C,10-15
31,31,31,32,2,Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,37000000,0.475,300-499,250L-10C,5-10
32,32,32,33,1,Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,4100000,0.5,300-499,10L-50L,5-10
33,33,33,34,5,Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,33000000,0.3818181818181818,800-900,250L-10C,0-5
34,34,34,35,3,Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,35700000,0.4117647058823529,600-699,250L-10C,5-10
35,35,35,36,2,Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,12400000,0.5,600-699,100L-250L,5-10
36,36,36,37,3,Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,10800000,0.2580645161290322,600-699,100L-250L,15-20
37,37,37,38,5,Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,30500000,0.2941176470588235,300-499,250L-10C,5-10
38,38,38,39,5,Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,21200000,0.4675324675324675,800-900,100L-250L,15-20
39,39,39,40,3,Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,6800000,0.2941176470588235,300-499,50L-100L,5-10
40,40,40,41,1,Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,50500000,0.430939226519337,700-799,250L-10C,0-5
41,41,41,42,2,Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,70600000,0.3654618473895582,800-900,250L-10C,15-20
42,42,42,43,3,Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,6400000,0.4117647058823529,500-599,50L-100L,5-10
43,43,43,44,2,Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,6100000,0.3478260869565217,300-499,50L-100L,10-15
44,44,44,45,5,Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,40100000,0.4850746268656716,700-799,250L-10C,15-20
45,45,45,46,4,Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,51600000,0.2877697841726618,300-499,250L-10C,15-20
46,46,46,47,3,Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,22900000,0.2876712328767123,600-699,100L-250L,5-10
47,47,47,48,1,Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,38700000,0.256544502617801,600-699,250L-10C,10-15
48,48,48,49,3,Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,36100000,0.2682926829268293,600-699,250L-10C,10-15
49,49,49,50,1,Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,60000000,0.4973821989528796,600-699,250L-10C,15-20
50,50,50,51,4,Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,33300000,0.2874015748031496,500-599,250L-10C,15-20
51,51,51,52,2,Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,43400000,0.3522267206477733,300-499,250L-10C,5-10
52,52,52,53,5,Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,21500000,0.5,600-699,100L-250L,0-5
53,53,53,54,1,Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,70300000,0.3652173913043478,600-699,250L-10C,10-15
54,54,54,55,2,Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,39500000,0.2588832487309644,500-599,250L-10C,15-20
55,55,55,56,5,Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,29300000,0.273469387755102,800-900,250L-10C,10-15
56,56,56,57,2,Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,18100000,0.4056603773584906,300-499,100L-250L,15-20
57,57,57,58,5,Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,72900000,0.3049180327868852,800-900,250L-10C,15-20
58,58,58,59,1,Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,49200000,0.4021739130434782,300-499,250L-10C,15-20
59,59,59,60,4,Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved,28200000,0.3021978021978022,700-799,250L-10C,15-20
60,60,60,61,2,Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,77400000,0.4497354497354497,300-499,250L-10C,15-20
61,61,61,62,3,Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,42400000,0.3147540983606557,600-699,250L-10C,15-20
62,62,62,63,5,Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,65100000,0.3044982698961938,300-499,250L-10C,5-10
63,63,63,64,3,Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,20600000,0.44,500-599,100L-250L,15-20
64,64,64,65,4,Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,30400000,0.3170731707317073,700-799,250L-10C,15-20
65,65,65,66,1,Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,33300000,0.3980582524271844,300-499,250L-10C,10-15
66,66,66,67,3,Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,54000000,0.2852233676975945,700-799,250L-10C,5-10
67,67,67,68,0,Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,9200000,0.2673267326732673,600-699,50L-100L,15-20
68,68,68,69,4,Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,25900000,0.4516129032258064,700-799,250L-10C,0-5
69,69,69,70,0,Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,14100000,0.38,300-499,100L-250L,10-15
70,70,70,71,4,Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,2800000,0.3333333333333333,300-499,10L-50L,15-20
71,71,71,72,5,Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,28500000,0.2849462365591398,300-499,250L-10C,0-5
72,72,72,73,5,Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,59200000,0.3825136612021858,300-499,250L-10C,0-5
73,73,73,74,3,Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,31500000,0.3473053892215569,700-799,250L-10C,15-20
74,74,74,75,2,Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,17900000,0.3095238095238095,300-499,100L-250L,5-10
75,75,75,76,2,Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,9000000,0.2923076923076923,600-699,50L-100L,15-20
76,76,76,77,4,Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,41300000,0.3851351351351351,600-699,250L-10C,15-20
77,77,77,78,0,Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,67000000,0.2686567164179104,800-900,250L-10C,5-10
78,78,78,79,2,Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,57400000,0.2891156462585034,500-599,250L-10C,10-15
79,79,79,80,0,Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,5900000,0.5,600-699,50L-100L,10-15
80,80,80,81,4,Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,17800000,0.3932584269662921,300-499,100L-250L,0-5
81,81,81,82,0,Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,45300000,0.282051282051282,800-900,250L-10C,0-5
82,82,82,83,2,Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,70300000,0.4669811320754717,300-499,250L-10C,15-20
